operation,success,duration
generate_semantic,True,0.001
generate_code,True,0.001
generate_semantic,True,0.001
validate_semantic,False,0.141
generate_code,True,0.001
forge_semantic_generator_with_validation_and_code_generation,True,5.7220458984375e-06
generate_semantic,True,0.001
generate_code,True,0.001
generate_semantic,True,0.001
validate_semantic,False,0.633
generate_code,True,0.001
forge_semantic_generator_with_validation_and_code_generation,True,4.76837158203125e-06
generate_semantic,True,0.001
validate_semantic,False,0.046
generate_code,True,0.001
generate_semantic,True,0.001
validate_semantic,False,0.018
generate_code,True,0.001
forge_semantic_generator_with_validation_and_code_generation,True,7.152557373046875e-07
generate_semantic,True,0.001
generate_code,True,0.001
generate_semantic,True,0.001
validate_semantic,False,0.018
generate_code,True,0.001
forge_semantic_generator_with_validation_and_code_generation,True,9.5367431640625e-07
generate_semantic,True,0.001
validate_semantic,False,0.047
generate_code,True,0.001
forge.semantic.generate,True,0.001086
forge.semantic.validate,True,0.049291
forge.code.generate,True,0.001613
forge.semantic.generate,True,0.000995
forge.semantic.validate,True,0.017727
forge.code.generate,True,0.001475
